source,target,osmid,lanes,name,highway,length
75618029,6646826309,9965723,2,Phố Tràng Tiền,secondary,15.408
75618029,8184202960,605230289,3,Phố Ngô Quyền,tertiary,16.703
75618029,6646826310,1223365201,3,Phố Ngô Quyền,tertiary,15.069
75618029,6646826311,1223365293,2,Phố Tràng Tiền,secondary,15.221
81817652,6648055354,965634323,2,,secondary,5.328
81817652,9999,29046480,,Phố Cổ Tân,residential,29.1595
9999,8324080738,29046480,,Phố Cổ Tân,residential,29.1595
81817652,4902374737,943964872,2,,secondary,16.168
84799736,10142638810,211898685,1,,primary_link,17.509
84799736,8888,838062935,2,Đường Trần Khánh Dư,primary,80.75125
8888,9998,838062935,2,Đường Trần Khánh Dư,primary,80.75125
9998,8887,838062935,2,Đường Trần Khánh Dư,primary,80.75125
8887,84799740,838062935,2,Đường Trần Khánh Dư,primary,80.75125
84799736,8886,838062935,2,Đường Trần Khánh Dư,primary,25.556
8886,9997,838062935,2,Đường Trần Khánh Dư,primary,25.556
9997,8885,838062935,2,Đường Trần Khánh Dư,primary,25.556
8885,10142638734,838062935,2,Đường Trần Khánh Dư,primary,25.556
84799740,8884,838062935,2,Đường Trần Khánh Dư,primary,23.9905
8884,438042805,838062935,2,Đường Trần Khánh Dư,primary,23.9905
84799740,8883,838062935,2,Đường Trần Khánh Dư,primary,80.75125
8883,9996,838062935,2,Đường Trần Khánh Dư,primary,80.75125
9996,8882,838062935,2,Đường Trần Khánh Dư,primary,80.75125
8882,84799736,838062935,2,Đường Trần Khánh Dư,primary,80.75125
84799740,8881,211897425,1,,primary_link,19.487
8881,9995,211897425,1,,primary_link,19.487
9995,8880,211897425,1,,primary_link,19.487
8880,10142638778,211897425,1,,primary_link,19.487
84799740,309653586,702910582,,Phố Cầu Đất,residential,24.767000000000003
84799897,9994,838062938,4,Đường Trần Khánh Dư,primary,25.7
9994,7821910479,838062938,4,Đường Trần Khánh Dư,primary,25.7
84799897,8879,211898685,1,,primary_link,34.85724999999999
8879,9993,211898685,1,,primary_link,34.85724999999999
9993,8878,211898685,1,,primary_link,34.85724999999999
8878,10142638810,211898685,1,,primary_link,34.85724999999999
84799897,8877,838062938,4,Đường Trần Khánh Dư,primary,28.33025
8877,9992,838062938,4,Đường Trần Khánh Dư,primary,28.33025
9992,8876,838062938,4,Đường Trần Khánh Dư,primary,28.33025
8876,10142638747,838062938,4,Đường Trần Khánh Dư,primary,28.33025
